technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Conventional Hydroelectric,2,1,53.0,,53.9,53.0,1963,2063,0.36,,0.0,6527.0
Natural Gas Steam Turbine,3,1,80.0,,153.1,80.0,1954,2030,0.144,10.609,1.836,25297.0
Natural Gas Steam Turbine,3,2,80.0,,153.1,80.0,1954,2030,0.028,10.344,1.745,24361.0
Conventional Steam Coal,3,4,362.0,,403.7,362.0,2007,2044,0.4,10.219,0.543886951,10754.043599999999
Conventional Steam Coal,3,5,756.5,,788.8,756.5,2010,2046,0.446,10.036,0.543886951,10754.043599999999
Natural Gas Fired Combined Cycle,3,A1CT,184.4,,170.1,194.5,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A1CT2,184.4,,170.1,194.5,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A1ST,200.0,,195.2,205.0,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A2C1,186.2,,170.1,190.0,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A2C2,186.2,,170.1,190.0,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A2ST,195.0,,195.2,200.0,2000,2055,0.775,7.05,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A3C1,385.0,,464.0,443.0,2023,2078,0.87,6.226,0.751840417,2738.8691660000004
Natural Gas Fired Combined Cycle,3,A3ST,300.0,,310.0,300.0,2023,2078,0.87,6.226,0.751840417,2738.8691660000004
Run of River Hydroelectric,4,1,74.7,,75.0,74.7,1967,2067,0.274,,0.0,6516.0
Run of River Hydroelectric,4,2,74.7,,75.0,74.7,1967,2067,0.274,,0.0,6542.0
Run of River Hydroelectric,4,3,74.7,,75.0,74.7,1967,2067,0.274,,0.0,6542.0
Natural Gas Fired Combustion Turbine,9,1,63.0,,86.9,65.0,1980,2030,0.087,18.949,14.23226102,1230.331313
Natural Gas Steam Turbine,10,1,154.68,,179.52,154.68,1965,2040,0.273,10.679,0.184941495,6094.614856
Natural Gas Steam Turbine,10,1,103.12,,119.68,103.12,1965,2040,0.273,10.679,0.184941495,6094.614856
Natural Gas Steam Turbine,10,2,103.32,,107.68,103.32,1966,2041,0.249,10.722,0.184941495,6094.614856
Natural Gas Steam Turbine,10,2,154.98,,161.52,154.98,1966,2041,0.249,10.722,0.184941495,6094.614856
Natural Gas Fired Combustion Turbine,10,GT10,85.0,,80.0,101.0,1996,2051,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT2,84.0,,80.0,100.0,1996,2051,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT3,82.0,,80.0,98.0,1995,2050,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT4,81.0,,80.0,97.0,1995,2050,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT5,82.0,,80.0,98.0,1995,2050,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT6,81.0,,80.0,97.0,1995,2050,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT7,80.0,,80.0,96.0,1995,2050,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT8,83.0,,80.0,99.0,1996,2051,0.012,13.85,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,10,GT9,82.0,,80.0,98.0,1996,2051,0.012,13.85,0.974824419,561.023366
Conventional Hydroelectric,11,1,23.7,,24.3,22.7,1966,2066,0.398,,0.0,7420.0
Conventional Hydroelectric,11,2,23.7,,24.3,22.7,1966,2066,0.398,,0.0,7598.0
Conventional Hydroelectric,11,3,23.7,,24.3,22.7,1966,2066,0.398,,0.0,7605.0
Run of River Hydroelectric,12,1,48.0,,46.9,48.0,1968,2068,0.43,,0.0,6619.0
Run of River Hydroelectric,13,1,32.3,,25.0,32.5,1929,2029,0.398,,0.0,7294.0
Run of River Hydroelectric,13,2,32.3,,25.0,32.5,1929,2029,0.398,,0.0,7311.0
Run of River Hydroelectric,13,3,32.3,,25.0,32.5,1929,2029,0.398,,0.0,7311.0
Run of River Hydroelectric,13,4,32.3,,25.0,32.5,1929,2029,0.398,,0.0,7311.0
Conventional Hydroelectric,14,1,43.0,,42.7,39.7,1964,2064,0.396,,0.0,6624.0
Conventional Hydroelectric,14,2,43.0,,42.7,39.7,1964,2064,0.396,,0.0,6788.0
Conventional Hydroelectric,14,3,43.0,,42.7,39.7,1964,2064,0.396,,0.0,6788.0
Run of River Hydroelectric,15,1,30.0,,29.5,30.3,1968,2068,0.397,,0.0,7529.0
Run of River Hydroelectric,15,2,30.0,,29.5,30.3,1968,2068,0.397,,0.0,7667.0
Run of River Hydroelectric,15,3,30.0,,29.5,30.3,1967,2067,0.397,,0.0,7671.0
Run of River Hydroelectric,15,4,30.0,,29.5,30.3,1967,2067,0.397,,0.0,7671.0
Run of River Hydroelectric,15,5,30.0,,29.5,30.3,1967,2067,0.397,,0.0,7671.0
Run of River Hydroelectric,15,6,30.0,,29.5,30.3,1967,2067,0.397,,0.0,7671.0
Conventional Hydroelectric,16,1,41.5,,50.2,39.4,1927,2027,0.26,,0.0,6434.0
Conventional Hydroelectric,16,2,41.5,,50.2,39.4,1927,2027,0.26,,0.0,6451.0
Conventional Hydroelectric,16,3,41.5,,50.2,39.4,1927,2027,0.26,,0.0,6451.0
Conventional Hydroelectric,16,4,57.6,,60.0,54.7,1952,2052,0.26,,0.0,6539.0
Run of River Hydroelectric,17,4,22.4,,20.0,22.7,1949,2049,0.379,,0.0,7791.0
Run of River Hydroelectric,17,5,46.9,,50.0,47.4,1985,2085,0.379,,0.0,7024.0
Run of River Hydroelectric,17,6,46.9,,50.0,47.4,1985,2085,0.379,,0.0,7024.0
Run of River Hydroelectric,17,7,46.9,,50.0,47.4,1985,2085,0.379,,0.0,7024.0
Conventional Hydroelectric,18,1,89.0,,90.5,87.5,1961,2061,0.226,,0.0,6356.0
Conventional Hydroelectric,18,2,89.0,,90.5,87.5,1962,2062,0.226,,0.0,6356.0
Run of River Hydroelectric,19,1,36.2,,40.5,35.3,1931,2031,0.363,,0.0,6720.0
Run of River Hydroelectric,19,2,36.2,,40.5,35.3,1931,2031,0.363,,0.0,6745.0
Run of River Hydroelectric,19,3,7.5,,10.0,7.3,1931,2031,0.364,,0.0,6957.0
Conventional Hydroelectric,20,1,27.0,,29.2,24.3,1962,2062,0.373,,0.0,7378.0
Conventional Hydroelectric,20,2,27.0,,29.2,24.3,1961,2061,0.373,,0.0,7434.0
Conventional Hydroelectric,20,3,27.0,,29.2,24.3,1961,2061,0.373,,0.0,7434.0
Run of River Hydroelectric,21,1,22.0,,25.5,22.5,1928,2028,0.393,,0.0,7204.0
Run of River Hydroelectric,21,2,22.0,,25.0,22.5,1928,2028,0.393,,0.0,7247.0
Natural Gas Steam Turbine,26,1,127.0,,136.0,127.0,1960,2035,0.172,10.775,0.131878475,4345.960941
Natural Gas Steam Turbine,26,1,127.0,,136.0,127.0,1960,2035,0.172,10.775,0.131878475,4345.960941
Natural Gas Steam Turbine,26,2,128.0,,136.0,128.0,1960,2035,0.179,10.899,0.131878475,4345.960941
Natural Gas Steam Turbine,26,2,128.0,,136.0,128.0,1960,2035,0.179,10.899,0.131878475,4345.960941
Natural Gas Steam Turbine,26,3,127.0,,136.0,127.0,1961,2036,0.184,10.866,0.131878475,4345.960941
Natural Gas Steam Turbine,26,3,127.0,,136.0,127.0,1961,2036,0.184,10.866,0.131878475,4345.960941
Other Waste Biomass,59181,1,1.0,,1.0,1.0,2013,2058,0.0,40.0,2.443,63592.0
Petroleum Liquids,26,GT4,8.0,,10.6,10.0,1970,2030,0.001,23.38,28.46452204,307.06971100000004
